Name,Location,Nearby,Description
Ranipokhari of Bhaktapur,"Bhaktapur Municipality, Bhaktapur District, Nepal.
27.672136, 85.415147","Pottery Square of Bhaktapur: the ground of clay arts
1.23 km
Siddha Pokhari; the biggest manmade pond of Bhaktapur
438.06 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
1.06 km","There is a Ranipokhari in Bhaktapur. Most people might have had no idea about this historic pond’s existence before the issue of its reconstruction. The mighty pond is said to be 40 years older than the Ranipokhari of Kathmandu. That’s why the Ranipokhari of Kathmandu used to be called “Nhu Pukhu “ which means the New pond. However, this Ranipokhari of Bhaktapur is not as big as Kathmandu’s.
Ranipokhari of Bhaktapur
As per the historian Dr Purushottam Lochan Shrestha, the Ranipokhari of Bhaktapur was ordered to be built by King Jagat Jyoti Malla, one of the greatest kings of Bhaktapur. It is assumed that he ordered the building of the pond in remembrance of his wife, Queen Rajlaxmi.
The found inscriptions state that it was built in 1687B.S.(1630 A.D, 750N.S.) within a timeframe of 5 months only. Later, it was renovated by King Jitmitra Malla in 1735. During the renovation, several statues of gods and goddesses were believed to be installed there. However, there are no signs of those artefacts in the current Ranipokhari.
Ranipokhari of Bhaktapur PC: bhaktapur.com/Prasant Prajapati
Unfolding history somehow reveals the facts that the pond was severally destroyed during the invasions of Kantipur and Lalitpur in Bhaktapur. Also, the artefacts appeared to be stolen during that time.  
It is said that there used to be a snake statue in the middle of the pond. As per some folklore, there stood the head of the “BasukiNaag” in this pond. Likewise, the body and the tails in the Shiddhapokhari and Na pukhu respectively. 
(These three ponds Ranipokhari, Shiddhapokhari and Na: Pukhu (Guhyepokhari) are considered sisters ponds.)
Besides the historical importance, it has another reason to be an important place to the Bhaktapurians. The Prajapati, Awal, Jochhen, Maharjan, Bhujitu, Rajlawat people of Bhaktapur do their digu puja at the premises of Ranipokhari. Moreover, they certainly perform the Ihi as well as the Bartabanda ceremony over there.
Ranipokhari of Bhaktapur PC: bhaktapur.com/Prasant Prajapati
On the southern part of Ranipokhari, there is a “Sattal” which had great use in the past. It is said that when Bhaktapur used to welcome Harishiddhi Naach and Naradevi Naach that used to be held once in 12 years, the dancers, as well as their team, used to rest in that Sattal before entering the Bhaktapur Nagar.
Sattal at Ranipokhari of Bhaktapur PC: Bhaktapur.com/ Praz Santt
Similarly, during Biska Jatra, a khadga used to come from Hanuman Dhoka Durbar which was also used to first settle down at the same sattal before entering Bhaktapur.
Ranipokhari now is open to the public as well.
(It was actually closed for the public since 2040 B.S. The land was used for army training and was under the control of the current Sainik Awasiya Vidhyalaya.)"
Siddhi Ganesh Temple and Dyo Chhen,"Nagadesh, Thimi Bhaktapur
27.683984, 85.385395","Siddhi Kali Temple
425.25 m
Nil Barahi Temple
1.68 km
Nigoo pukhu(Dui pokhari);literally means the 2 ponds
656.35 m
Mahalaxmi temple of Bode
936.25 m","Siddhi Ganesh Temple of Nyagya Tole is worshipped as the main deity of Nagadesha. Each year, the palanquin of Siddhi Ganesh used to be taken at Balkumari temple, during Biska Jatra. It was the only palanquin that used to depart from Nagadesha. And, only after the presence of the palanquin of Siddhi Ganesha, the Balkumari Jatra used to starts.
Siddhi Ganesh temple
Perhaps, because the Siddhi Ganesha is assumed as the eldest son of Balkumari, he used to possess such priority. But unfortunately, today this series of acts are not performed. Moreover, some people assumed Siddhi Ganesha as Kumar too.
The temple of Siddhi Ganesh is located inside a courtyard and guess what, the entrance of the temple is no other than its dyo chhen. After entering the Dyo Chhen, you need to walk toward the north. You could encounter a pond, minor temples, people playing cards on nearby pati, while you walk toward the temple.
Way to Siddhi Ganesh temple
locals nearby Siddhi Ganesh temple
Also, you can sense the fragrance of green veggies while discerning people tieing them.
The temple is assumed to be built in N.S. 600 (B.S.1536) whereas the dyo chhen was built in N.S. 916 (B.S. 1898). This three-storeyed golden roofed temple is now having some renovations while the dyo chhen itself is becoming one of the main attractions of this place.
Dyo chhen of Siddhi Ganesh Temple
The Siddhi Ganesh Dyo chhen depicts one of the beautiful woodcarvings output of thimi. The Dyo chhen is used to store the image of Siddhi Ganesha, Palanquin and other objects that are used in cultural activities. However, it is gaining more attention because of its golden window. The window is said to be made out of gold that’s why it is engraved under the iron bars.
It is said that before the erection of dyo chhen, the image of Siddhi Ganesh was placed in the house of local residences. Each year to the house of nearby residences."
Divyashwori temple,"Lokanthali, Bhaktapur
27.674303, 85.359739","Thimi: a 3000 years old city
2.71 km
Gundu: one hidden landscape behind the southern hills of Bhaktapur
7.27 km
Suryabinayak temple
6.6 km
Bhaktapur Durbar Square: One Open Museum Of Nepal
6.52 km","Divyashwori temple is one unique temple of Nepal. Probably in the entire nation, there is one such temple that has this kinda architectural characteristic. It along with the 5 main pinnacles owns a total of 13 pinnacles.  
It is the temple of Divyashwori, located 50m south of the lokanthali chowk. It is said that the temple along with the main pinnacle is made in Sriyantra form. Moreover, there is an amazing statue of Guhyakali inside the temple. Her image is also quite unique like the name and structure of the temple.
Her image has 11 heads and about 108 hands, surrounded by all serpents. Also, it is assumed that it might be the first temple ever dedicated to her in the entire world. It is said that she was established there by a Tantrik named Dibya in B.S. 1950.
Most of the devotees there offer her the pure water of coconuts and sacrifices are strictly prohibited. On top of that, there is a Sai bhajan and Yog centre on the premises of this temple."
Nil Barahi Temple,"Bode, Bhaktapur District, Nepal.
27.695441, 85.396436","Siddhi Kali Temple
2.1 km
Nigoo pukhu(Dui pokhari);literally means the 2 ponds
2.19 km
Mahalaxmi temple of Bode
745.31 m
Lokeshwor Temple (Hiranyavarna Mahavihar)
2.39 km","Nil Barahi temple is located in the northern arena of the historical city Tigani. It is Balkumari Temple, considered one of the four Barahi of the Kathmandu Valley. There is a natural stone inside the temple which represents the Nil Barahi herself. 
There is no roof in this temple which additionally make it a distinct temple. It is said that during the reign of King Vikram Sen, this deity was established over there adopting the Tantrik way. Besides the Nil barahi temple, there are other images of Astamatrika, bhairava and pati on its premises.
Other deities at Nil Barahi temple premises PC: Bhaktapur.com/Praz Santt
Nil Barahi temple premises
Moreover, this prominent place is important for both Hindus and Buddhists. Meanwhile, a lot of people worship this temple as Dhana Barahi too. 
Nil Barahi temple
A palanquin from this temple is prepared to participate in the Sindoor Jatra where an image of Nil barahi with 3 eyes and four hands is set aside. This image of her however always remained at Dyo Chhen. Besides, the legendary Nil Barahi Dance is also closely related to this temple.
This temple is at quite a height and a small jungle leads the way up there. So, it’s naturally a refreshing place.
Jungle area near Nil Barahi temple
Way to the Nil Barahi temple
There is a picnic spot too. Considering these features, the municipality organized to make it an eco-park. From where the Kathmandu valley, as well as Changu Narayan temple, can be seen very firmly.  
Western view from Nil Barahi temple
The eastern view from Nil Barahi temple"
Mahalaxmi temple of Bode,"Madhyapur thimi municipality, Bhaktapur District, Nepal.
27.690791, 85.390987","Balkumari Temple of Thimi; a temple in the middle of the city
1.77 km
Siddhi Kali Temple
1.36 km
Mahankal Trishul Danda
6.55 km
Lokeshwor Temple (Hiranyavarna Mahavihar)
1.71 km","Mahalaxmi temple is one of the most beautiful as well as giant temples of Madhyapur Thimi which has a lot of cultural and historical significance. It is located at Bhangutole of Bode and each year during Biska jatra (Sindoor Jatra), the palanquin of this temple leads another eight palanquins. With that, many cultural, as well as religious activities, are conducted in this temple. That’s why it is an important temple.
Although there is no information regarding the establishment of this temple, it is ensured that it was already built before N.S. 749 (B.S. 1686). Likewise, there is an inscription that states, that a golden Aakhi window (Aakhijhya) was offered there in N.S. 810 (B.S.1747).
The Mahalaxmi temple
This Mahalaxmi temple of Bode is also counted among the four Mahalaxmi of Kathmandu valley. Inside the temple, there are two stone images representing Bhairava and Mahalaxmi. But those stones are put in the upright position. As per the local darn, when they became uncontrollable and started to eat humans, they were placed like that.
There are other minor temples of Lord Ganesh, Nasa dyo and Chaitya on the premises of the Mahalaxmi temple.
Nasa dyo at Mahalaxmi temple
Ganesh mandir on the premises of Mahalaxmi temple
Moreover, a lingo is rose up and fall down on the premises of this temple during Biska Jatra. And, the foremost one of the most popular dances of thimi, Nil Barahi Naach and Gana, must rotate this temple to complete their journey."
Siddhi Kali Temple,"Madhyapur thimi municipality, Bhaktapur District, Nepal.
27.680754, 85.383085","Bode: a mini version of Madhyapur Thimi
2.15 km
Nigoo pukhu(Dui pokhari);literally means the 2 ponds
407.73 m
Balkumari Temple of Thimi; a temple in the middle of the city
601.02 m
Lokeshwor Temple (Hiranyavarna Mahavihar)
568.01 m","Siddhi Kali temple of thimi is a mystery. As per an old local, Siddhi Kali is a combined form of a male and a female. Whereas the statue of Siddhi Kali exactly looks like the image of Lord Ganesha. Or, it might actually be the image of Lord Ganesha.
Leaving this conflict behind, if we talk about the temple’s architecture, then you surely would say that this is the most artistic temple of thimi. The intrinsic woodcarvings of the torans and struts of this temple are awe-inspiring. Perhaps, because of recently done repaintings, they look even more engaging. 
Carved Ganesha on the toran of Siddhi kali temple
Ganesha on the toran of siddhi kali temple
Although the name of the temple is Siddhi Kali, the temple is dedicated to Lord Shiva, Lord Ganesh, and Goddess Kali along with Lord Bhairava and Nava Durga. The Siddhikali temple is also called Inayekwo dyo. Reasonably, cause it is located at Inayekwo Tole.
The siddhi kali temple premises
This two-storeyed temple is made in Pagoda style which showcases 17th-century architecture.  But the legends say that this Shaktipitha emerged from the fall of the right eye of Sati Devi. If you have heard or read about Swasthani Barta Katha, then it will be easier for you to understand this matter.
The temple of Siddhi Kali
As per the story, when Sati Devi died after jumping into the Yagya Kunda of her father’s (Dakshya Prajapati) Yagya, her immortal body was carried around by Lord Shiva (her husband). Because the body was carried by Lord Shiva himself, it did not dare to perish. However, because of that, Lord shiva started to live in grief, not caring about the universe. The only thing that he cared about was her body thus he continued to carry her and roam around the globe.
Seeing this despair of Lord Shiva, Lord Vishnu appeared as a fly and make the body of Sati perishable. Which after her body start to fall apart one by one. In that process, wherever the body part of Sati fell, a Shaktipitha emerged in that place. Thus, Shiddhikali appears to be the place where Sati’s right eye fell.
The golden pinnacle of the Siddhi kali temple
Moreover, the gold-gilded copper roof of this temple elegantly manages to hold this huge number of Pataa, falling from the top of the roof. Well, it seems that those Pataas are hung during festivals only.
The Pataa (Patah) of the Siddhi Kali temple
There is one more thing that makes this temple quite distinct from others. The nailed cooking utensils at the upper storey of the temple. 
Besides, during Biska Jatra, the palanquins of Siddhikali lead the other six palanquins of Ganeshas. Those palanquins are Koshi Inaye Ganesha, Bishwo Binayak, Korki Inaye Ganesha, Gaamcha Inaye Ganesha, Raj Ganesha and Siwa Ganesha."
Wane Layaku,"Dattatreya Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.673234, 85.435147","Wood carving museum of Bhaktapur, Nepal
39.53 m
Bhimsen temple of Bhaktapur: the temple of trade master
42.23 m
Brass and Bronze museum of Bhaktapur, Nepal
62.83 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
918.62 m","Wane layaku of Dattatraya Square is very well hidden from the outside world. This layaku complex lies in the southwest corner of the Dattatraya temple. You need to go a little further from the rows of the restaurants to reach over there. Probably, that’s why it was never known to the world before.
However, this little complex is an important place from the point of view of history, culture, architecture and religion. As per the local anecdotes, the Taleju was first placed and worshipped over here. Later, it was transferred to the current Bhaktapur Durbar Square. Besides, this place is assumed one of the holiest places in Bhaktapur. No meat or sacrifice was ever allowed over here.
Also, during Dashain or the Mohni festival, there is a tradition of displaying a water clock in this Wane Layaku. Wane layaku, on the other hand literally means the eastern palace area. Here, wane means the east and layaku means palace or an important office area in the Nepal Bhasa. So, it actually makes sense, the naming of this place.
The complex, till today consists of the Wane Layaku itself (the Devagriha). It is made in the traditional Newa Agam Architectural style with the beautiful windows of the Malla era. The struts of this Devagriha are also carved with the beautiful figures of different deities.
It is said that there is a statue of Tulaja Bhawani in this Devagriha. With that, there is a Jaladroni (water tank) made in N.S. 770 and a plant, actually a tree in this complex. 
Many of you might have this thought that why even a tree is mentioned in this post. Yes, this tree is mentioned over here because it witnessed a large history and beheld a belief. It is said that the tree is as old as the Agam Chhen itself and it never needed any care to grow this large.
Moreover, there is one more tenet about this complex. Believe it or not, the rumours say that in this complex, no grass has ever grown till today. However, the roof seems exception in this case."
Tribikram Narayan Temple,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.671652, 85.428345","Pottery Square of Bhaktapur: the ground of clay arts
214.8 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
244.07 m
Bhimsen temple of Bhaktapur: the temple of trade master
666.78 m
Annapurna ; the red temple of Bhaktapur Durbar Square
74.15 m",Tribikram Narayan temple is located on the southern arena of Yakshyashwor Mahadev Temple.  The temple is faced to the east and is made in the Shikhara style. It is said that the statue of the temple got lost which was of Tribikram Narayan. The temple was first made during the reign of King Jitamitra Malla. 
Yetachapari; the long inn of Bhaktapur Durbar Square,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.671856, 85.428259","Sundhara; the golden conduit of Bhaktapur Durbar Square
98.78 m
Pottery Square of Bhaktapur: the ground of clay arts
232.03 m
Dattatraya Square: a dignitary destination for Aesthete
723.61 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
232.31 m","Yetachapari is a long inn/resthouse that one can encounter in the south of the Bhaktapur Durbar Square. Nowadays, people prefer to call it Lamopati (a Nepalese word meaning long inn) rather than Yetachapari. Many of us might have had no idea about its original name before this.
This two-storeyed building was used to sit, to have an audience for the king, and observe cultural programs held in front of the palace or dabali (the traditional stage-like space). However, it is still used to sit and observe several festivals and events. Even when there are no festivals or events, one can simply enjoy the spectacular views of the Royal palaces and temples of Bhaktapur Durbar Square standing behind them.
Did you know that this Yetachapari was bigger than this?
Yes, it was big and was twice bigger than this. It was after the earthquake of 1990 that its reconstruction was made a bit far from the palace which traverses to a good space at Bhaktapur Durbar Square. Well, you couldn’t find such long inns as Yetachapari in Patan and Basantapur Durbar Square.
Well, you could find the old images of Lamopati in our old photo collection.
   "
Tadhuchhen Bahal,"Sakotha, Bhaktapur, Nepal
27.671856, 85.429348","National Art Museum; the Simhadhwaka Durbar of Bhaktapur
94.46 m
Taumadhi Square; a place that holds an image of the entire Bhaktapur
40.01 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
339.17 m","Tadhuchhen Bahal or Ta: dhi chhen is more familiar as Chaturvarna Mahavihar. The bahal is also termed Bahal, Baha, or Vihar (Mahavihar) in the Nepalese term. That’s why it is called in various ways.
Tadhuchhen Bahal was ordered to erect by King Raya Malla. An inscription like-board in the Vihar clearly states that it was built in N.S. 611 (1492 A.D). It also states that the Kings: Ram Malla, Raya Malla, Ari Malla, and Avaya Malla collaboratively invited Jibchandra Bajracharya and ceremoniously made him the main Gubaju of the Bahal. 
This vihar is also called Surat Shree Chaturvarna Mahavihar. It is said that the pioneer priest of the Vihar, who was Jibchandra Bajracharya, was also the son of the famous Tantrik Gubaju of that era, Surat Bajracharya. Considering a tribute to him, the initial name of the Vihar was named Surat Shree Chaturvarna Mahavihar. 
Also, about calling the place the Kumari House, it’s not like the kumari of Bhaktapur resides over there. But yes, it is said that the initial kumari of Nepal was established over there. Additionally, King Ranajit Malla also had set some rules regarding Kumari in the place as well.
Perhaps, that’s why it is also called Kumari house. Nowadays, only during Dashain (Mohni), for a week, the former Kumari is brought up here to fulfill some holy rituals.
Things to notice on Tadhuchhen Bahal
The Tadhuchhen Bahal is an attractive component in itself though there are many other things that surpass your imagination. Being in this centuries-old monastery, you might get wonder, conceiving what exactly is this place.  It looks like a blend of Buddhism and Hinduism.
The courtyard of this Bahal is surrounded by a pha-cha (a walkway on four sides) and the enclosed quadrangle is paved with brick tiles (chikanapa). There is a twayamapau i.e. a toran (a semi-circular decorative panel that normally is made either of wood or metal) hung above the main entrance gate of the bahal and above the sanctum as well.
The courtyard of Tadhuchhen bahal
PC: bhaktapur.com/Praz santt
Basically, it is decorated symbolizing the three jewels or the five Buddhas of the deity inside the shrine. So, glancing at them not only made you realize the great artistic views but also the religious aspects of creating them.
Erecting various protective deities is another feature of the Bahās and the Bahis. That’s why you could see the wooden sculptures of Ganga-Jamuna right after the entrance on your right and left in the Bahal. Also, there are statues of Bhairava and Ganesh on the struts to protect the Bahal from all bad happenings.
It is said that the image of Mahānkālto overcomes all dangers and a Chetrapāl protected the shrine.  You would also encounter Stupas and a stone Mandal in the courtyard. There is a belief that the center of this Mandal has a figure of Manjughosh, a form of Manjushree. 
Close to the Dharmadhatumandal (the stone Mandal) of a courtyard, there is a base for sacrifice place called Jogisāla in Newāri. It is used for Homa or fire sacrifice rituals. Plus, there is a statue of panchadhyani buddha with its shakti. Besides all these spiritual monuments, you could somehow, also encounter quite impressive things over there.
Yes, while you are there, don’t avoid glancing at the struts of the eastern part of the shrine. There are some wooden portraitures that portray the punishment of limbo which are returned according to their karma. It is a fact that wherever the temple of Lokeshwor exists these kinds of portraitures also exist.
The image shows two persons with huge stomachs. As per the locals, those big men could eat only one grain at a time. It was their punishment. So, they always starve to the death.
PC: bhaktapur.com/Praz santt
The image shows the punishment for being the person who spread the rumors that he/she had only heard about and caused a fight against each other.
PC: bhaktapur.com/ Praz santt
Tadhuchhen bahal
PC: bhaktapur.com/ Praz santt
Sculpture of two persons at Tadhuchhen bahal PC: bhaktapur.com/ Praz santt
A carving depicting the punishment atTadhuchhen bahal PC: bhaktapur.com/Praz santt
Carving depicting creatures attacking a person at Tadhuchhen bahal PC: bhaktapur.com/ Praz santt
Where is Tadhuchhen Bahal located?
You don’t need to worry or walk too much to reach over there. Just walk a little to the east from the Bhaktapur Durbar Square, cross the long inn, and there you go, on your right-hand side, there is a door guarded by two stone images of lions. There it is. There are souvenir shops attached to the building.
Also, the famous Bara pasa: of Bhaktapur, covers some space of the bahal. It serves way more gratifying bara than you could ever have in your life. Both vegetarians and non-vegetarians could enjoy their kind of taste over there.
References: The book was written by Dr. Indra Shiddhi Bajracharya."
"Wakupati Narayan Temple, Bhaktapur","Suryamadi, Chyamasingha, Bhaktapur.
27.673405, 85.437141","Bhimsen temple of Bhaktapur: the temple of trade master
230.67 m
Brass and Bronze museum of Bhaktapur, Nepal
156.59 m
Dattatraya Square: a dignitary destination for Aesthete
174.58 m
Bhaktapur Durbar Square: One Open Museum Of Nepal
1.12 km","Wakupati Narayan Temple is a two-story pagoda temple dedicated to Lord Vishnu, enclosed within a stone-paved courtyard. It is located at Suryamadhi, Bhaktapur. A few minutes of walk from Chyamasingha towards the west leads you to this temple.
This temple is also called Wakupati Changu Narayan temple. People who couldn’t go to Changunarayan for prayer choose to go to Wakupati Narayan temple. It is like a substitution of the Changu Narayan temple.
Wakupati Narayan temple and premises
About the erection of this temple, it is said that the temple was built in 1667. However, there is one interesting story regarding the emergence of the Wakupati Narayan, the deity. As per the story, one devotee of Narayan who daily went to Changu Narayan had to stop going there because of the harvesting works.
He was too busy to visit the temple thus he remembers the Narayan, pray spiritually and go to work. One evening when he was returning back home with the sack of paddy, he found the image of Lord Vishnu in his sack. Since it was found within the sack of paddy, it was named Wakupati Narayan.
Here, Wakupati Narayan simply means the seen Vishnu while carrying the sack of paddy.
The temple by date seems more archaic than the Nyatapola temple and is in very good shape today. Despite some damage to neighbouring buildings, the ornate, golden temple survived the 2015 quake outlasting various distinct quakes.
Well, while you visit this temple, you would surely note the entourage of five Garudas supported on pillars on the backs of turtles. This is the only place where one would see five Garudas standing back to back in a row. However, the nearest one seems like a devotee rather than the Garuda as in the Dattatraya temple. You can clearly recognize the human face in it. But there are wings too to call him human as well.
On the premises of Wakupati Narayan temple. PC: bhaktapur.com/ Praz Santt
Along with such mysterious creatures, there is an ancient stone tap inside the courtyard. Also, the stone scriptures of God and Goddesses. There is a statue of Lord Ganesha on the right side of the temple. Similarly, there is the image of Dasavatar of Lord Vishnu right behind the temple. You can have a guess recognising each of them while existing from that narrow space of the temple.
Nearby, there is a stone image of Goddess Saraswoti. There is even a temple of Chinna Masta, one among the Das Mahavidhyas on the southern arena of the main shrine.
The skeleton-like image in front of the tap of Wakupati Narayan temple premises. PC: Prashant Prajapati/bhaktapur.com
On the premise of Wakupati Narayan temple
A huge mass of people visits the temple at Ekadashi. Although, people stay up during the Nitya Puja as well. Each day, in the morn and on the eve, the Pujari of the temple performs daily worship. And to witness that, the nearby people especially the senior citizens gather over there. 
Just within a while, you could see the gang of these older people on the premises of this temple who tend to laugh and gossiping in the patis (resthouse) of Suryamadhi, a minute before. They reach over there in such a perfect time as if it’s their daily routine to be there.
And of course, perceiving those glimpse of old people who shares a sort of stories with each other, including strangers like us really brings a smile to your face. Thus, It would be great if you could reach there in the evening, around 6 pm.
Also, there is a belief among the local denizens that if people sit in the courtyard while visiting the temple, the back pain is cured. It is like the blessing of God. So the people of Bhaktapur, still sit there at least once while visiting the temple, even if they are in a super hurry.
Wait, there is more to explore on the premises of this temple. Among several patis and minor temples from the premises, the pati from the end of the east corner consists of more exaggerating wooden artworks. It looks like leaving unavoidable crafting is a sign of the then Nepalese architecture.
Wood carving at Wakupati Narayan temple (seems like a hunting scene) PC: Prashant Prajapati/bhaktapur.com"
Annapurna ; the red temple of Bhaktapur Durbar Square,"Bhaktapur Durbar Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.672179, 85.428806","Silu Mahadev; the tallest temple of Bhaktapur Durbar Square
32.36 m
Siddhi Laxmi temple; a platform to enjoy the breathtaking festivals of Bhaktapur
70.1 m
National Art Museum; the Simhadhwaka Durbar of Bhaktapur
32.39 m
Taumadhi Square; a place that holds an image of the entire Bhaktapur
72.78 m","Right behind the temple of Shiddi Laxmi, often called Lohan Dega, there is one unusual temple. Most of you might have noticed it, a temple where the supposed doors are filled with brick walls.
There is an even conflict about its name. Some people call it Shiddhi Laxmi temple, some say there is Annapurna inside the temple, and some claim that there is a Sriyantra which is a tantric symbol of Goddess Vatsala Devi.
Thus, let’s call this red temple the temple of Annapurna for now.
The structure of this temple is also unique. It is said that there used to be doors in all directions of the temple. But, today you can see the red brick walls over there instead of those doors. There is only one door in the southern part of the temple.
The founded inscription on the pedestal of Sriyanta claims that it dates back to N.S. 816 (Thursday, Feb 20, 1996 A.D)."
Nigoo pukhu(Dui pokhari);literally means the 2 ponds,"Madhyapur thimi municipality, Bhaktapur District, Nepal.
27.678103, 85.385944","Thimi: a 3000 years old city
106.16 m
Bode: a mini version of Madhyapur Thimi
2.3 km
Balkumari Temple of Thimi; a temple in the middle of the city
272.82 m","Duipokhari or the Nigoo pukhu, which literally means the two ponds is now one of the popular middles of Madhyapur thimi. People go and spend time over there. Children do swimming and visitors, boating.
First restored Nigoo Pukhu
But, it was not the same scenario a few years back. It has been transformed into that ancient styled pond after a long period. It is said that the pond was once dried up to welcome King Mahendra in Bhaktapur.
As per the cited stories, the locals didn’t find a good and wide place to do a grand welcome of the then King. Thus, they dried up the pond. But, unfortunately, it became a dry meadow and an un-managed field after that.
The concerned authority could not make it to its initial face until Mr Madan Sundar Shrestha, the Mayor of Madhyapur Thimi associated his work and post toward protecting these heritage sites.
One of the Nigoo Pukhu (two ponds)
These ponds hold a history of at least 300 years. The name of Queen Ganga came whenever the talks start about the erection of the pond. It is said that she erected these ponds to facilitate the locals with a water resource.
recently completed nigoo pukhu
As for one solution if somehow fire brokes or else. Moreover, the erection of the pond helps to be alive to the other water sources like the wells and stone spouts."
Lokeshwor Temple (Hiranyavarna Mahavihar),"Madhyapur thimi municipality, Bhaktapur District, Nepal.
27.676189, 85.385670","Nearby Hotels
Hotel Bhaktapur Inn
0 m
Moon Light Guest House
0 m
Ganesh Farm Stay
0 m
Hotel Classic
0 m
See other hotels","Lokeshwor temple of the Madhyapur thimi is one of the most sacred temples of Nepal. However, it is also designated as the main Vihar of Madhyapur Thimi too. People of thimi call this temple Ta: Baha and Lukuna dyo. It is highly protected, using the metal bars and locked up tightly because of the several attempts of theft.
Inside the temple, there is a beautiful statue of Lokeshwor (Karunamaya) who is considered one powerful tantric deity. There seems a combined influence of Hinduism and Buddism in this temple.
Seems like Avalokitesvara
This two-tiered temple has a Vajra (the lighting bolt) in front of the temple which signifies the tantric qualities observed by the nearby small chaitya over.
Vajra at Lokeshwor temple"
"Brass and Bronze museum of Bhaktapur, Nepal","Dattatreya Square, Bhaktapur Municipality, Bhaktapur District, Nepal.
27.673652, 85.435576","Wakupati Narayan Temple, Bhaktapur
156.59 m
Salan Ganesh Temple and the pond
52.44 m
Dattatraya Square: a dignitary destination for Aesthete
27.44 m","The museum next to the woodcarving museum also used to be a Matha or Math. (Math over here is not the mathematics term but is a house specially made for the priests of the specific temple) The then Math, which is now representing a bunch of cases, all related to the metalwork is now, well known under the name of Brass and Bronze Museum.
However, one can enter this museum with the same ticket bought either in the National Art Gallery or the Woodcarving Museum.
The museum is filled with ancient exemplars just like the other museum does. But, it significantly has preserved the traditional utensils of different eras including the ceremonial lamps as well as the ritual vessels, which meant to make it one unique museum from others.
In some summon, it is also facing the problems of weaker lighting means similar to the Wood Carving Museum. "
